"","player","ROI","salary","gp","PVWS","position","Z_val"
"14","Derrick White",0.0256661275554388,17142857,82,4.55595386268001,"SG",0.0840173608020119
"19","Lonnie Walker IV",0.0280919773380377,6479000,56,1.60703277819827,"SG",0.13692664505877
"24","Austin Reaves",0.199045292122876,1563518,64,3.48121933776531,"SG",3.86552418290625
"25","Kendrick Nunn",-0.00895924636892553,5250000,70,1.1781330860274,"SG",-0.671183461854883
"36","Donte DiVincenzo",0.0581755326228617,4500000,71,4.02484562130823,"SG",0.793067593866166
"37","Moses Moody",0.0405875649691043,3740160,62,1.30800948616936,"SG",0.409463140380851
"41","Terrence Ross",-0.00550614147429873,11500000,63,1.77968563660391,"SG",-0.59586910820085
"42","Jalen Suggs",-0.0137678509907564,6922320,53,1.70412426631289,"SG",-0.776062102997387
"46","R.J. Hampton",-0.0106901467082537,2898243,47,1.03135847727565,"SG",-0.70893546889611
"50","Jaden Ivey",-0.0133830148801123,7252200,73,2.17783259397083,"SG",-0.767668589385625
"59","Bradley Beal",-0.039470559423975,43279250,50,3.11978434160023,"SG",-1.33665407221851
"64","Will Barton",-0.0344688093768878,15059712,56,1.37315822756824,"SG",-1.22756280988194
"71","Bennedict Mathurin",-0.00590151811370898,6586800,78,2.89909149173339,"SG",-0.604492517264798
"75","Eric Gordon",-0.00940890983958431,19568360,69,2.32341719081078,"SG",-0.680990900287232
"77","Jalen Green",-0.0103356145912051,9441840,76,2.8751081140306,"SG",-0.701202904129063
"82","Garrison Mathews",0.0116533447212761,2e+06,54,0.954007505697479,"SG",-0.221610100353741
"83","Josh Christopher",-0.010802021857629,2372160,64,0.827952884066067,"SG",-0.711375535103847
"87","Dejounte Murray",0.00852249203945554,17071120,74,5.31083983778151,"SG",-0.289895933918839
"109","Edmond Sumner",0.104223545935658,1968175,53,1.11540556989938,"SG",1.79740324700606
"110","Cam Thomas",0.0428048395216303,2138160,57,1.25611568158928,"SG",0.457823269856466
"116","Ayo Dosunmu",0.152825083195079,1563518,79,2.56833599431665,"SG",2.85743283689238
"117","Coby White",0.00365816730146795,7413955,73,2.83106840779952,"SG",-0.395989865260144
"123","Tyler Herro",0.0308213016441132,5722116,67,4.27527053394785,"SG",0.19645489638533
"129","Donovan Mitchell",-0.00398772393508218,30913750,68,5.29937450224987,"SG",-0.56275148246032
"132","Caris LeVert",-0.00514024225086107,18796296,74,3.30274455823406,"SG",-0.587888619812385
"142","Gary Trent Jr.",-0.0128823729264501,17280000,66,3.01325969517736,"SG",-0.756749278706464
"148","RJ Barrett",0.0060740928541152,10900634,73,2.80687448876883,"SG",-0.343297034597218
"152","Immanuel Quickley",0.0625765821059761,2316240,81,4.58831769205155,"SG",0.889057205341898
"155","Desmond Bane",0.107325625799568,2130240,58,4.17540997396218,"SG",1.86506152761523
"170","Jalen Williams",0.0272197182471181,4341480,75,4.56475539700455,"SG",0.117902134753947
"173","Isaiah Joe",0.0401268243728157,1836090,73,2.80687448876883,"SG",0.39941410298681
"176","Anthony Edwards",0.0196289083591772,10733400,78,5.26606323690278,"SG",-0.0476581241627461
"180","Jaylen Nowell",0.0098260655328275,1930681,65,1.82383061349894,"SG",-0.261464189708981
"182","Austin Rivers",-0.0301455542361214,2905851,52,1.12357548024022,"SG",-1.13326994113215
"187","Terry Rozier",-0.0238452495512848,21486316,63,2.97325230878472,"SG",-0.995856398931252
"192","Bryce McGowens",0.0108037344180449,1461055,46,0.785492237794235,"SG",-0.240140626589777
