"","player","GP","PVWL","WLpg","position","Z_val"
"480","Trevelin Queen",7,0.227436814220298,0.0324909734600425,"SG",-1.27263863922872
"481","Victor Oladipo",42,0.816351359063095,0.0194369371205499,"SG",-0.681184528277797
"483","Alondes Williams",1,0.0242059916232036,0.0242059916232036,"SG",-1.4767458506223
"490","Gary Payton II",22,1.02929964447967,0.0467863474763484,"SG",-0.467317949616201
"494","Jared Rhoden",14,0.581681613392961,0.0415486866709258,"SG",-0.916866236274085
"498","Danny Green",11,0.326025655666128,0.029638695969648,"SG",-1.17362465480999
"505","Stanley Umude",1,0.0594298629106232,0.0594298629106232,"SG",-1.44137008403785
"511","Johnny Juzang",18,0.381815168399902,0.0212119537999946,"SG",-1.1175945619157
"514","Sam Merrill",5,0.259241076357529,0.0518482152715058,"SG",-1.24069722811643
"522","Xavier Moon",4,0.111637998746237,0.0279094996865592,"SG",-1.388936811952
"525","Kobi Simmons",5,0.185099000936614,0.0370198001873228,"SG",-1.3151590251397
"526","Lester Quinones",4,0.173310703122831,0.0433276757807077,"SG",-1.3269981574283
"528","Shaquille Harrison",4,0.252968466550572,0.0632421166376431,"SG",-1.24699688719126
"529","Nate Williams",4,0.0792012288391976,0.0198003072097994,"SG",-1.42151345838651
"530","Jay Scrubb",2,0.128307870798836,0.0641539353994179,"SG",-1.37219505469557
"532","Donovan Williams",2,0.0826149011758324,0.0413074505879162,"SG",-1.41808506532911
"534","Gabe York",3,0.09830643998918,0.0327688133297267,"SG",-1.40232586016161
"535","Mac McClung",2,0.107339606004312,0.0536698030021561,"SG",-1.39325374057934
"1","Tobias Harris",74,4.3831300815783,0.0592314875888959,"SF",1.84584507982532
"8","Danuel House Jr.",56,1.94452563259094,0.0347236720105525,"SF",0.0318831858465063
"11","Jaylen Brown",67,3.44465507280816,0.0514127622807188,"SF",1.1477581452807
"12","Jayson Tatum",74,6.70727818626399,0.0906388944089729,"SF",3.57466834167642
"20","Sam Hauser",80,3.54518439369794,0.0443148049212242,"SF",1.22253712692216
"28","Juan Toscano-Anderson",52,1.84324233777535,0.0354469680341414,"SF",-0.0434566411469144
"30","Matt Ryan",33,0.910190842904469,0.0275815406940748,"SF",-0.737509281589928
"31","Cole Swider",7,0.2500405983069,0.0357200854724143,"SF",-1.22856365840698
"34","Andrew Wiggins",36,1.33444752317278,0.0370679867547994,"SF",-0.42192491054023
"37","Klay Thompson",68,1.63192787192221,0.0239989392929737,"SF",-0.200643424293834
"47","Franz Wagner",80,2.76281301441128,0.0345351626801409,"SF",0.640568259623912
"51","Caleb Houstan",51,1.45844125054376,0.028596887265564,"SF",-0.329691872649743
"54","Chuma Okeke",27,0.99879914013239,0.0369925607456441,"SF",-0.671597782605932
"56","Saddiq Bey",76,3.52725172068329,0.046411206851096,"SF",1.20919786416504
"63","Kevin Knox II",62,2.5381803092092,0.0409383920840193,"SF",0.473474671507499
"65","Hamidou Diallo",55,2.85596265791892,0.051926593780344,"SF",0.709857850164413
"66","Deni Avdija",76,3.44139296259467,0.0452814863499299,"SF",1.1453316166062
"76","Buddy Hield",80,3.29826442828646,0.0412283053535808,"SF",1.03886510569503
"79","Chris Duarte",46,0.991161434307611,0.0215469877023394,"SF",-0.677279108796131
"85","Aaron Nesmith",73,2.16367457011671,0.0296393776728316,"SF",0.194897659941624
"92","KJ Martin",82,5.11947848057373,0.0624326643972406,"SF",2.39357964047728
"97","De'Andre Hunter",67,1.88541989745255,0.0281405954843664,"SF",-0.012082760045691
"102","Jalen Johnson",70,3.77110057374746,0.0538728653392494,"SF",1.39058543094837
"105","Justin Holiday",46,0.895317793280317,0.0194634302887025,"SF",-0.748572635991938
