"","player","ROI","salary","gp","PVGS","position","Z_val"
"14","Derrick White",0.0273826366825445,17142857,82,4.96180326320098,"SG",-0.0155709355039928
"19","Lonnie Walker IV",0.0743630097349199,6479000,56,2.28091976678041,"SG",0.812451866939019
"24","Austin Reaves",0.176031723069812,1563518,64,3.9266729424576,"SG",2.60434936512366
"25","Kendrick Nunn",-0.00152298492790681,5250000,70,1.45505747854692,"SG",-0.525028657041455
"36","Donte DiVincenzo",0.0501505012633516,4500000,71,3.34681609863704,"SG",0.385709637871311
"37","Moses Moody",0.0303842819844946,3740160,62,0.991270119084905,"SG",0.0373326621768892
"41","Terrence Ross",-0.00783110701970258,11500000,63,1.83652147999059,"SG",-0.636208466677669
"42","Jalen Suggs",-0.0107353701538883,6922320,53,2.13307228233985,"SG",-0.687395716653727
"46","R.J. Hampton",-0.0103885825548513,2898243,47,1.04740218882808,"SG",-0.681283631522198
"50","Jaden Ivey",0.00305249176100153,7252200,73,4.22216998167933,"SG",-0.444386491296222
"59","Bradley Beal",-0.0301252947275636,43279250,50,4.88439754284492,"SG",-1.02914054841047
"64","Will Barton",-0.0365439440897752,15059712,56,1.34289922804981,"SG",-1.14226838643067
"71","Bennedict Mathurin",0.00917778587101048,6586800,78,4.56328357083923,"SG",-0.336429000428643
"75","Eric Gordon",-0.0046073392465984,19568360,69,3.29200542167921,"SG",-0.579389990099475
"77","Jalen Green",0.00673578520885632,9441840,76,5.86006159345809,"SG",-0.379468936054321
"82","Garrison Mathews",0.0100083760287482,2e+06,54,0.777421778569001,"SG",-0.321789959795124
"83","Josh Christopher",-0.0046034659759393,2372160,64,1.12340006089656,"SG",-0.57932172422125
"87","Dejounte Murray",0.0133861224676162,17071120,74,6.8361744478847,"SG",-0.262257629791372
"109","Edmond Sumner",0.128338995316191,1968175,53,1.35328651819383,"SG",1.76377140618154
"110","Cam Thomas",0.0514500668420459,2138160,57,2.02512082120168,"SG",0.40861430768373
"116","Ayo Dosunmu",0.154943547866811,1563518,79,2.76649369549923,"SG",2.23267309276772
"117","Coby White",0.00384066006515016,7413955,73,2.89395687380264,"SG",-0.430495130168239
"123","Tyler Herro",0.0436489333429924,5722116,67,5.31762240602102,"SG",0.271120371334671
"129","Donovan Mitchell",0.00482714512789006,30913750,68,7.98976616440331,"SG",-0.413108462648434
