"","GAME_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_ID","PLAYER_NAME","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","PF","PTS","STL","BLK","TO","OREB","DREB","AST","BLKA","PFD","POSS","SCREEN_ASSISTS","DEFLECTIONS","CHARGES_DRAWN","CONTESTED_SHOTS_2PT","CONTESTED_SHOTS_3PT","OFF_BOXOUTS","DEF_BOXOUTS","OFF_LOOSE_BALLS_RECOVERED","DEF_LOOSE_BALLS_RECOVERED","D_FGM","D_FGA","DRIVES","DIST_MILES_OFF","DIST_MILES_DEF","TOUCHES","PASSES_MADE","PASSES_RECEIVED","SECONDARY_AST","POTENTIAL_AST","FT_AST","OREB_CONTEST","OREB_CHANCES","DREB_CONTEST","DREB_CHANCES"
"32",22200002,1610612747,"LAL",203076,"Anthony Davis",35.6,10,22,0,3,7,9,2,27,4,1,3,0,6,0,1,7,87,0,6,0,6,5,0,5,1,0,6,15,4,1.5,1.1,83,52,51,1,2,0,0,7,3,8
"33",22200002,1610612747,"LAL",201566,"Russell Westbrook",30.6833333333333,7,12,1,3,4,5,1,19,1,0,4,1,10,3,1,3,75,1,1,0,5,1,1,0,2,0,3,6,13,1.3,1,68,45,41,1,7,1,1,6,2,13
"34",22200002,1610612747,"LAL",201976,"Patrick Beverley",24.6666666666667,1,5,1,5,0,0,5,3,4,2,1,1,1,2,0,3,55,0,3,1,2,2,0,0,1,0,7,13,2,1,0.9,38,30,27,0,6,0,0,4,0,5
"35",22200002,1610612747,"LAL",1630559,"Austin Reaves",16,1,3,0,2,1,1,1,3,0,0,0,0,0,1,0,1,40,0,0,0,2,5,0,0,1,0,3,12,2,0.7,0.6,12,8,9,0,1,0,0,0,0,0
"36",22200002,1610612747,"LAL",1629134,"Kendrick Nunn",23.05,5,9,3,6,0,0,2,13,1,0,3,0,3,2,0,0,56,1,2,0,4,6,0,0,0,0,6,14,3,1,0.9,33,21,24,1,5,0,0,0,0,6
"37",22200002,1610612747,"LAL",1629308,"Juan Toscano-Anderson",14.3,0,3,0,3,0,0,1,0,0,0,2,0,4,0,0,1,34,0,2,0,3,2,0,0,0,0,1,5,1,0.7,0.5,22,17,14,0,2,0,0,1,1,5
"38",22200002,1610612747,"LAL",1629117,"Wenyen Gabriel",7.8,0,1,0,0,0,2,2,0,0,0,0,1,0,1,1,2,18,1,0,0,3,0,0,2,0,0,3,6,1,0.4,0.3,14,11,9,0,2,0,0,5,0,2
"39",22200002,1610612747,"LAL",1630346,"Matt Ryan",17.8166666666667,1,4,1,3,0,0,2,3,1,0,1,0,1,0,0,0,41,0,0,0,3,6,0,2,0,1,5,13,0,0.8,0.7,21,14,17,1,2,1,0,0,1,2
"40",22200002,1610612747,"LAL",1631306,"Cole Swider",1.86666666666667,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0.1,0.1,5,4,4,0,1,0,0,0,1,1
"41",22200002,1610612747,"LAL",1630590,"Scotty Pippen Jr.",1.86666666666667,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,2,0.1,0.1,5,5,4,1,1,0,0,0,0,0
