,game_id,game_date,home_team_id,away_team_ids,tv
106,0022200107,11/02/2022,1610612739,1610612738,ESPN
107,0022200108,11/02/2022,1610612755,1610612764,
108,0022200109,11/02/2022,1610612748,1610612758,
109,0022200110,11/02/2022,1610612752,1610612737,
110,0022200111,11/02/2022,1610612741,1610612766,
111,0022200112,11/02/2022,1610612745,1610612746,
112,0022200113,11/02/2022,1610612749,1610612765,
113,0022200114,11/02/2022,1610612759,1610612761,
114,0022200115,11/02/2022,1610612742,1610612762,
115,0022200116,11/02/2022,1610612757,1610612763,ESPN
116,0022200117,11/02/2022,1610612747,1610612740,
117,0022200118,11/03/2022,1610612753,1610612744,
118,0022200119,11/03/2022,1610612760,1610612743,NBA TV
119,0022200120,11/04/2022,1610612765,1610612739,
120,0022200121,11/04/2022,1610612754,1610612748,
121,0022200122,11/04/2022,1610612755,1610612752,
122,0022200123,11/04/2022,1610612764,1610612751,
123,0022200124,11/04/2022,1610612738,1610612741,ESPN
124,0022200125,11/04/2022,1610612763,1610612766,
125,0022200126,11/04/2022,1610612759,1610612746,
126,0022200127,11/04/2022,1610612742,1610612761,
127,0022200128,11/04/2022,1610612740,1610612744,
128,0022200129,11/04/2022,1610612750,1610612749,ESPN
129,0022200130,11/04/2022,1610612756,1610612757,
130,0022200131,11/04/2022,1610612747,1610612762,
131,0022200132,11/05/2022,1610612753,1610612758,
132,0022200133,11/05/2022,1610612766,1610612751,
133,0022200134,11/05/2022,1610612737,1610612740,
134,0022200135,11/05/2022,1610612752,1610612738,NBA TV
135,0022200136,11/05/2022,1610612749,1610612760,
136,0022200137,11/05/2022,1610612750,1610612745,
137,0022200138,11/05/2022,1610612743,1610612759,
138,0022200139,11/05/2022,1610612756,1610612757,NBA TV
139,0022200140,11/06/2022,1610612747,1610612739,
140,0022200141,11/06/2022,1610612761,1610612741,
141,0022200142,11/06/2022,1610612763,1610612764,
142,0022200143,11/06/2022,1610612746,1610612762,
143,0022200144,11/07/2022,1610612766,1610612764,
144,0022200145,11/07/2022,1610612753,1610612745,
145,0022200146,11/07/2022,1610612765,1610612760,
146,0022200147,11/07/2022,1610612754,1610612740,
147,0022200148,11/07/2022,1610612755,1610612756,NBA TV
148,0022200149,11/07/2022,1610612737,1610612749,
149,0022200150,11/07/2022,1610612748,1610612757,
150,0022200151,11/07/2022,1610612741,1610612761,
151,0022200152,11/07/2022,1610612763,1610612738,
152,0022200153,11/07/2022,1610612750,1610612752,
153,0022200154,11/07/2022,1610612759,1610612743,
154,0022200155,11/07/2022,1610612742,1610612751,
155,0022200156,11/07/2022,1610612744,1610612758,
156,0022200157,11/07/2022,1610612762,1610612747,
157,0022200158,11/07/2022,1610612746,1610612739,NBA TV
158,0022200159,11/09/2022,1610612766,1610612757,
159,0022200160,11/09/2022,1610612754,1610612743,
160,0022200161,11/09/2022,1610612753,1610612742,
161,0022200162,11/09/2022,1610612737,1610612762,
162,0022200163,11/09/2022,1610612738,1610612765,
163,0022200164,11/09/2022,1610612751,1610612752,ESPN
164,0022200165,11/09/2022,1610612761,1610612745,
165,0022200166,11/09/2022,1610612741,1610612740,
166,0022200167,11/09/2022,1610612750,1610612756,
167,0022200168,11/09/2022,1610612760,1610612749,
168,0022200169,11/09/2022,1610612759,1610612763,
169,0022200170,11/09/2022,1610612746,1610612747,ESPN
170,0022200171,11/09/2022,1610612758,1610612739,
