"","GAME_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_ID","PLAYER_NAME","FG2O","FG2X","FG3O","FG3X","FTMO","FTMX","PF","PTS","STL","AORB","ADRB","AST","BLK","TOV","BLKA","PFD","SAST","DEFL","CHGD","AC2P","C3P","OBOX","DBOX","OLBR","DLBR","DFGO","DFGX","DRV","ODIS","DDIS","APM","AST2","FAST","OCRB","AORC","DCRB","ADRC"
"1",22200001,1610612755,"PHI",202699,"Tobias Harris",4,4,3,3,1,1,3,18,3,0,1,0,0,0,0,2,0,2,0,3,0,0,1,0,0,4,4,2,1.3,1.1,27,0,0,1,2,0,2
"2",22200001,1610612755,"PHI",200782,"P.J. Tucker",3,0,0,2,0,0,2,6,0,1,2,0,1,2,0,1,2,5,0,0,2,0,0,0,0,4,5,0,1.3,1.1,21,0,0,1,4,0,2
"3",22200001,1610612755,"PHI",203954,"Joel Embiid",8,4,1,5,7,2,4,26,0,0,9,5,1,6,1,11,7,1,0,5,2,0,4,0,0,13,8,5,1.3,1.1,35,1,0,1,4,5,0
"4",22200001,1610612755,"PHI",1630178,"Tyrese Maxey",6,5,2,3,3,0,5,21,2,0,1,2,0,1,2,5,0,2,0,1,2,0,0,0,1,5,5,9,1.7,1.3,47,2,0,0,2,0,0
"5",22200001,1610612755,"PHI",201935,"James Harden",4,1,5,4,12,0,3,35,0,0,7,7,0,3,0,4,0,2,0,1,2,0,1,0,0,11,8,13,1.3,1,66,1,1,0,1,1,0
"6",22200001,1610612755,"PHI",1626149,"Montrezl Harrell",1,2,0,0,0,0,3,2,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,2,3,0,0.4,0.3,9,0,0,0,0,0,0
"7",22200001,1610612755,"PHI",1629001,"De'Anthony Melton",1,1,1,1,0,0,2,5,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,7,1,1,0.8,0.7,23,0,0,0,0,0,0
"8",22200001,1610612755,"PHI",1627863,"Danuel House Jr.",0,1,0,1,1,1,2,1,2,0,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,1,3,1,0.7,0.6,9,0,0,0,1,0,2
"9",22200001,1610612755,"PHI",1627777,"Georges Niang",0,1,1,2,0,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.5,0.4,4,0,1,0,0,0,0
"10",22200001,1610612755,"PHI",1629680,"Matisse Thybulle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",22200001,1610612738,"BOS",1627759,"Jaylen Brown",10,2,4,8,3,0,1,35,2,0,3,2,1,4,1,3,0,3,0,2,2,0,0,0,0,5,4,7,1.4,1.2,37,0,0,0,1,0,3
"12",22200001,1610612738,"BOS",1628369,"Jayson Tatum",11,2,2,5,7,2,1,35,1,0,12,4,1,3,0,7,1,8,0,1,3,0,0,0,1,6,4,9,1.5,1.2,37,1,1,0,0,0,2
"13",22200001,1610612738,"BOS",201143,"Al Horford",0,2,2,3,0,0,4,6,0,0,4,1,0,0,0,0,1,2,0,3,1,0,1,0,0,10,8,1,0.8,0.7,26,1,0,1,2,0,2
"14",22200001,1610612738,"BOS",1628401,"Derrick White",1,1,0,1,0,1,2,2,1,0,2,4,0,1,1,3,0,0,1,5,2,0,0,0,0,4,6,4,0.9,0.9,18,0,1,1,1,0,1
"15",22200001,1610612738,"BOS",203935,"Marcus Smart",2,2,1,3,7,1,3,14,1,0,2,7,0,1,0,6,0,1,1,1,1,0,0,1,0,6,4,9,1.2,1.1,44,1,0,1,0,0,1
"16",22200001,1610612738,"BOS",203943,"Noah Vonleh",1,1,0,0,0,0,4,2,1,0,0,0,1,0,1,0,6,0,0,1,0,0,0,0,1,3,5,0,0.8,0.6,21,0,0,0,3,2,4
"17",22200001,1610612738,"BOS",1629684,"Grant Williams",2,0,3,0,2,1,3,15,0,0,1,1,0,0,0,2,2,0,0,1,2,0,0,1,0,6,3,1,0.9,0.7,16,0,0,0,1,0,2
"18",22200001,1610612738,"BOS",1627763,"Malcolm Brogdon",7,2,0,2,2,0,2,16,2,0,1,4,0,1,0,1,0,1,0,2,3,0,0,0,0,3,8,13,0.9,0.8,22,0,0,1,1,0,4
"19",22200001,1610612738,"BOS",201933,"Blake Griffin",0,1,0,1,1,1,3,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0.3,0.3,13,0,0,2,3,1,2
"20",22200001,1610612738,"BOS",1630573,"Sam Hauser",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0.1,0,0,0,0,0,0,0
"21",22200002,1610612747,"LAL",1629022,"Lonnie Walker IV",2,2,0,3,1,1,0,5,1,0,2,5,1,2,0,1,0,2,0,1,3,0,0,0,1,5,5,5,1.2,1.1,18,0,0,1,0,0,0
"22",22200002,1610612747,"LAL",2544,"LeBron James",9,7,3,7,4,0,2,31,0,4,7,8,0,5,1,4,0,1,0,5,5,1,2,0,0,6,2,10,1.5,1.1,56,0,0,1,0,3,5
"23",22200002,1610612747,"LAL",203076,"Anthony Davis",10,9,0,3,7,2,2,27,4,0,3,0,1,3,1,7,0,6,0,5,5,0,5,1,0,6,9,4,1.5,1.1,51,1,0,0,7,3,2
"24",22200002,1610612747,"LAL",201566,"Russell Westbrook",6,3,1,2,4,1,1,19,1,0,8,3,0,4,1,3,1,1,0,5,1,1,0,2,0,3,3,13,1.3,1,40,1,1,1,5,2,3
"25",22200002,1610612747,"LAL",201976,"Patrick Beverley",0,0,1,4,0,0,5,3,4,1,1,2,2,1,0,2,0,3,1,0,2,0,0,1,0,7,6,2,1,0.9,28,0,0,0,3,0,4
"26",22200002,1610612747,"LAL",1630559,"Austin Reaves",1,0,0,2,1,0,1,3,0,0,0,1,0,0,0,1,0,0,0,2,5,0,0,1,0,3,9,2,0.7,0.6,7,0,0,0,0,0,0
"27",22200002,1610612747,"LAL",1629134,"Kendrick Nunn",2,1,3,3,0,0,2,13,1,0,3,2,0,3,0,0,1,2,0,4,6,0,0,0,0,6,8,3,1,0.9,18,1,0,0,0,0,3
"28",22200002,1610612747,"LAL",1629308,"Juan Toscano-Anderson",0,0,0,3,0,0,1,0,0,0,3,0,0,2,0,1,0,2,0,3,2,0,0,0,0,1,4,1,0.7,0.5,17,0,0,0,1,1,1
"29",22200002,1610612747,"LAL",1629117,"Wenyen Gabriel",0,1,0,0,0,2,2,0,0,1,0,1,0,0,1,2,1,0,0,3,0,0,2,0,0,3,3,1,0.4,0.3,10,0,0,0,4,0,2
"30",22200002,1610612747,"LAL",1630346,"Matt Ryan",0,1,1,2,0,0,2,3,1,0,0,0,0,1,0,0,0,0,0,3,6,0,2,0,1,5,8,0,0.8,0.7,12,1,1,0,0,1,1
"31",22200002,1610612747,"LAL",1631306,"Cole Swider",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.1,0.1,3,0,0,0,0,1,0
"32",22200002,1610612747,"LAL",1630590,"Scotty Pippen Jr.",0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0.1,0.1,4,1,0,0,0,0,0
"33",22200002,1610612747,"LAL",1631108,"Max Christie",0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,0,0,0,0,0,0
"34",22200002,1610612744,"GSW",203952,"Andrew Wiggins",4,3,4,3,0,0,5,20,1,0,5,4,1,1,0,1,2,5,0,3,5,0,1,0,0,6,7,2,1.1,1.1,20,1,1,1,2,0,6
"35",22200002,1610612744,"GSW",203110,"Draymond Green",2,3,0,0,0,0,1,4,0,0,4,5,0,1,1,1,4,1,0,4,2,0,5,0,0,2,8,2,0.9,0.9,36,1,2,0,1,1,4
"36",22200002,1610612744,"GSW",1626172,"Kevon Looney",3,1,0,0,1,0,2,7,1,0,3,2,0,0,0,1,5,2,0,10,3,0,2,0,0,6,9,0,0.8,0.8,27,0,0,2,1,1,1
"37",22200002,1610612744,"GSW",202691,"Klay Thompson",4,3,2,4,4,1,3,18,1,0,2,3,0,2,0,3,0,1,0,0,1,0,0,0,0,2,4,4,0.8,0.7,18,1,0,0,0,0,4
"38",22200002,1610612744,"GSW",201939,"Stephen Curry",6,3,4,9,9,0,1,33,4,0,4,7,1,4,2,5,0,4,0,0,3,0,0,1,0,4,5,8,1.5,1.2,36,2,0,1,1,1,3
"39",22200002,1610612744,"GSW",1629673,"Jordan Poole",2,4,2,7,2,0,2,12,2,0,2,7,0,4,0,1,3,3,0,0,3,0,0,0,1,4,6,6,1.3,1,37,1,0,0,1,0,0
"40",22200002,1610612744,"GSW",1630164,"James Wiseman",4,2,0,0,0,4,2,8,0,1,6,0,1,0,1,3,2,0,0,3,2,1,2,0,0,6,4,0,0.7,0.6,22,0,0,0,6,0,4
"41",22200002,1610612744,"GSW",203210,"JaMychal Green",1,2,2,1,0,0,1,8,1,0,1,0,0,0,0,0,1,2,0,3,7,2,1,0,0,6,4,0,0.9,0.8,23,0,0,5,0,1,3
"42",22200002,1610612744,"GSW",1630228,"Jonathan Kuminga",0,1,0,2,0,0,2,0,0,1,2,0,1,2,0,0,0,1,1,2,4,0,0,0,1,3,5,3,0.5,0.5,7,0,0,0,0,0,1
