name,22.23_salary
Gary Payton II,"$8,300,000 "
Dewayne Dedmon,"$8,283,688 "
De'Anthony Melton,"$8,250,000 "
JaMychal Green,"$8,200,000 "
TJ McConnell,"$8,100,000 "
Keegan Murray,"$8,008,440 "
Kevon Looney,"$8,000,000 "
Thaddeus Young,"$8,000,000 "
Delon Wright,"$7,804,878 "
Patrick Williams,"$7,775,400 "
Scottie Barnes,"$7,644,600 "
Cedi Osman,"$7,426,088 "
Coby White,"$7,413,955 "
Zach Collins,"$7,350,000 "
Taurean Prince,"$7,295,000 "
Jaden Ivey,"$7,252,200 "
Jae'Sean Tate,"$7,065,217 "
Isaac Okoro,"$7,040,880 "
Cody Martin,"$7,000,000 "
Jalen Suggs,"$6,922,320 "
Jaxson Hayes,"$6,803,012 "
Khem Birch,"$6,667,500 "
Bennedict Mathurin,"$6,586,800 "
Patrick Mills,"$6,479,000 "
Bruce Brown,"$6,479,000 "
Caleb Martin,"$6,479,000 "
Lonnie Walker,"$6,479,000 "
Joe Ingles,"$6,479,000 "
Onyeka Okongwu,"$6,395,160 "
Josh Giddey,"$6,287,400 "
Rui Hachimura,"$6,263,188 "
Rudy Gay,"$6,184,500 "
Jevon Carter,"$6,025,000 "
Shaedon Sharpe,"$6,012,960 "
Cameron Payne,"$6,000,000 "
Otto Porter,"$6,000,000 "
Justin Holiday,"$5,987,975 "
Cam Reddish,"$5,954,454 "
Cameron Johnson,"$5,887,899 "
Ricky Rubio,"$5,853,659 "
Killian Hayes,"$5,837,760 "
PJ Washington,"$5,808,435 "
Jonathan Kuminga,"$5,739,840 "
Pat Connaughton,"$5,728,393 "
Tyler Herro,"$5,722,116 "
Romeo Langford,"$5,634,257 "
Dyson Daniels,"$5,508,600 "
JaVale McGee,"$5,461,219 "
Goga Bitadze,"$5,377,520 "
Obi Toppin,"$5,348,280 "
Franz Wagner,"$5,258,280 "
Kendrick Nunn,"$5,250,000 "
Hamidou Diallo,"$5,200,000 "
Cory Joseph,"$5,155,500 "
Garrett Temple,"$5,155,500 "
Torrey Craig,"$5,121,951 "
Jeremy Sochan,"$5,063,520 "
David Nwaba,"$5,022,000 "
Nickeil Alexander-Walker,"$5,009,633 "
Furkan Korkmaz,"$5,000,000 "
Deni Avdija,"$4,916,160 "
Davion Mitchell,"$4,833,600 "
Johnny Davis,"$4,810,320 "
Ty Jerome,"$4,728,948 "
Ishmael Smith,"$4,725,000 "
Jalen Smith,"$4,670,160 "
Ziaire Williams,"$4,591,680 "
Ousmane Dieng,"$4,569,840 "
Moe Harkless,"$4,564,980 "
Donte DiVincenzo,"$4,500,000 "
Jeff Green,"$4,500,000 "
Devin Vassell,"$4,437,000 "
Matisse Thybulle,"$4,379,526 "
Jarred Vanderbilt,"$4,374,000 "
James Bouknight,"$4,362,240 "
Brandon Clarke,"$4,343,919 "
Jalen Williams,"$4,341,480 "
Grant Williams,"$4,306,281 "
Darius Bazley,"$4,264,628 "
Tyrese Haliburton,"$4,215,120 "
Nassir Little,"$4,171,548 "
Josh Primo,"$4,144,320 "
Jalen Duren,"$4,124,280 "
Gorgui Dieng,"$4,105,236 "
Danuel House,"$4,105,000 "
Boban Marjanovic,"$4,101,478 "
Justise Winslow,"$4,097,561 "
Dylan Windler,"$4,037,277 "
Stanley Johnson,"$4,022,164 "
Kira Lewis,"$4,004,280 "
George Hill,"$4,000,000 "
Terence Davis,"$4,000,000 "
Chris Duarte,"$3,936,960 "
Alex Len,"$3,918,600 "
Ochai Agbaji,"$3,918,360 "
Jordan Poole,"$3,901,399 "
Keldon Johnson,"$3,873,024 "
Sviatoslav Mykhailiuk,"$3,846,895 "
James Johnson,"$3,841,067 "
Aaron Nesmith,"$3,804,360 "
Moses Moody,"$3,740,160 "
Mark Williams,"$3,722,040 "
Cole Anthony,"$3,613,680 "
Corey Kispert,"$3,552,840 "
AJ Griffin,"$3,536,160 "
Goran Dragic,"$3,523,762 "
Mike Muscala,"$3,500,000 "
Georges Niang,"$3,465,000 "
Isaiah Stewart,"$3,433,320 "
Chuma Okeke,"$3,433,320 "
Trey Burke,"$3,423,750 "
Amir Coffey,"$3,395,062 "
Alperen Sengun,"$3,375,360 "
Tari Eason,"$3,359,160 "
Aleksej Pokusevski,"$3,261,480 "
Kevin Porter,"$3,217,631 "
Trey Murphy,"$3,206,520 "
Simone Fontecchio,"$3,205,128 "
Andre Drummond,"$3,200,000 "
