,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,PF,PTS,STL,BLK,TO,BLKA,PFD,POSS,SCREEN_ASSISTS,DEFLECTIONS,CHARGES_DRAWN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,OFF_BOXOUTS,DEF_BOXOUTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,D_FGM,D_FGA,DRIVES,DIST_MILES_OFF,DIST_MILES_DEF,TOUCHES,PASSES_MADE,PASSES_RECEIVED,SECONDARY_AST,POTENTIAL_AST,OREB_CONTEST,OREB_CHANCES,DREB_CONTEST,DREB_CHANCES
0,99999999,1610612738,BOS,999999,Jackson Lautier,37:48:00,7.0,20.0,2.0,8.0,3.0,5.0,2.0,19.0,3.0,0.0,2.0,4.0,4.0,72,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,7.0,10.0,1.4,1.0,73.0,48.0,52.0,2.0,14.0,0.0,9.0,0.0,6.0
0,0022200132,1610612758,SAC,203084,Harrison Barnes,35:04,4.0,10.0,1.0,4.0,0.0,0.0,1.0,9.0,1.0,0.0,1.0,0.0,2.0,76,3.0,0.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,8.0,15.0,7.0,1.4,1.3,57.0,43.0,32.0,1.0,4.0,2.0,2.0,0.0,7.0
1,0022200132,1610612758,SAC,1631099,Keegan Murray,24:16,1.0,6.0,1.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,50,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,9.0,10.0,1.0,1.0,0.8,21.0,13.0,14.0,0.0,0.0,0.0,1.0,1.0,2.0
2,0022200132,1610612758,SAC,1627734,Domantas Sabonis,37:49,10.0,14.0,0.0,1.0,5.0,12.0,4.0,25.0,1.0,1.0,2.0,1.0,11.0,82,5.0,2.0,0.0,18.0,1.0,2.0,0.0,2.0,1.0,15.0,25.0,4.0,1.5,1.4,75.0,53.0,50.0,0.0,10.0,2.0,6.0,5.0,15.0
3,0022200132,1610612758,SAC,1628989,Kevin Huerter,32:11,3.0,7.0,3.0,6.0,0.0,2.0,2.0,9.0,0.0,1.0,1.0,0.0,1.0,67,0.0,1.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,8.0,13.0,8.0,1.3,1.2,49.0,38.0,39.0,0.0,4.0,0.0,1.0,1.0,2.0
4,0022200132,1610612758,SAC,1628368,De'Aaron Fox,40:17,14.0,24.0,2.0,7.0,7.0,7.0,3.0,37.0,1.0,0.0,4.0,0.0,5.0,86,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,23.0,1.6,1.4,99.0,63.0,87.0,1.0,11.0,0.0,1.0,1.0,6.0
5,0022200132,1610612758,SAC,1630558,Davion Mitchell,12:43,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.5,0.4,24.0,20.0,23.0,0.0,1.0,0.0,1.0,0.0,2.0
6,0022200132,1610612758,SAC,1626168,Trey Lyles,29:35,5.0,10.0,4.0,7.0,1.0,1.0,2.0,15.0,0.0,1.0,2.0,1.0,1.0,62,1.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,9.0,14.0,2.0,1.2,1.1,50.0,36.0,23.0,0.0,3.0,0.0,2.0,1.0,5.0
7,0022200132,1610612758,SAC,1628370,Malik Monk,28:30,5.0,10.0,3.0,7.0,2.0,2.0,3.0,15.0,0.0,0.0,1.0,0.0,3.0,61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,1.1,1.0,37.0,24.0,29.0,0.0,5.0,0.0,0.0,0.0,2.0
8,0022200132,1610612758,SAC,1626158,Richaun Holmes,5:11,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.2,0.2,9.0,7.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0
9,0022200132,1610612758,SAC,1629056,Terence Davis,8:29,2.0,5.0,1.0,3.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,17,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.4,0.3,21.0,16.0,15.0,0.0,3.0,0.0,1.0,0.0,1.0
